tn,fp,fn,tp,Resample,acc,sensitivity,specificity,balanced_acc,project,classifier,balancing,resampling,metric,max_term,feature,hyper1,value1,hyper2,value2,seed,row
1676,70,2,1668,Fold1.Rep01,"0,978922716627635","0,959723820483314","0,99880810488677","0,979265962685042",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1690,56,9,1661,Fold2.Rep01,"0,980971896955503","0,967384973791497","0,994702766333137","0,981043870062317",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1693,53,4,1667,Fold3.Rep01,"0,983318700614574","0,969186046511628","0,997642899233942","0,983414472872785",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1690,56,7,1663,Fold4.Rep01,"0,98155737704918","0,967422920302501","0,995875073659399","0,98164899698095",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1673,72,5,1666,Fold5.Rep01,"0,977459016393443","0,958573072497123","0,997020262216925","0,977796667357024",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1685,61,3,1667,Fold1.Rep02,"0,981264637002342","0,964699074074074","0,998222748815166","0,98146091144462",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1681,65,8,1662,Fold2.Rep02,"0,978629976580796","0,962362478286045","0,995263469508585","0,978812973897315",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1680,66,7,1663,Fold3.Rep02,"0,978629976580796","0,961827646038172","0,995850622406639","0,978839134222406",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1696,50,10,1661,Fold4.Rep02,"0,982440737489026","0,970777323202805","0,994138335287222","0,982457829245013",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1700,45,7,1664,Fold5.Rep02,"0,984777517564403","0,97366881217086","0,995899238429994","0,984784025300427",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1690,55,3,1667,Fold1.Rep03,"0,983016105417277","0,968060394889663","0,99822799763733","0,983144196263497",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1684,62,6,1664,Fold2.Rep03,"0,980093676814988","0,964078794901506","0,996449704142012","0,980264249521759",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1686,60,9,1662,Fold3.Rep03,"0,979806848112379","0,965156794425087","0,994690265486726","0,979923529955906",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1669,77,3,1668,Fold4.Rep03,"0,976587649985367","0,955873925501433","0,998205741626794","0,977039833564113",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1690,56,6,1664,Fold5.Rep03,"0,981850117096019","0,967441860465116","0,996462264150943","0,98195206230803",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1685,61,6,1665,Fold1.Rep04,"0,980392156862745","0,964658169177289","0,996451803666469","0,980554986421879",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1683,63,1,1670,Fold2.Rep04,"0,981270119988294","0,963646855164455","0,999406175771972","0,981526515468213",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1695,51,4,1666,Fold3.Rep04,"0,983899297423888","0,97029702970297","0,997645673925839","0,983971351814404",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1678,67,9,1661,Fold4.Rep04,"0,977745241581259","0,961226851851852","0,994665085951393","0,977945968901622",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1693,53,4,1666,Fold5.Rep04,"0,983313817330211","0,969168121000582","0,997642899233942","0,983405510117262",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1693,53,13,1657,Fold1.Rep05,"0,980679156908665","0,969005847953216","0,992379835873388","0,980692841913302",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1691,55,5,1666,Fold2.Rep05,"0,982440737489026","0,968041836141778","0,997051886792453","0,982546861467115",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1689,56,4,1666,Fold3.Rep05,"0,982430453879941","0,967479674796748","0,997637330183107","0,982558502489927",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1674,72,1,1670,Fold4.Rep05,"0,978636230611648","0,958668197474168","0,999402985074627","0,979035591274397",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1681,65,7,1663,Fold5.Rep05,"0,978922716627635","0,962384259259259","0,99585308056872","0,97911866991399",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1676,69,1,1670,Fold1.Rep06,"0,979508196721311","0,960322024151811","0,999403697078116","0,979862860614963",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1690,56,5,1665,Fold2.Rep06,"0,982142857142857","0,967460778617083","0,997050147492625","0,982255463054854",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1688,58,5,1665,Fold3.Rep06,"0,98155737704918","0,966337782936738","0,997046662728884","0,981692222832811",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1694,52,7,1664,Fold4.Rep06,"0,982733391864208","0,96969696969697","0,995884773662552","0,982790871679761",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1690,56,2,1668,Fold5.Rep06,"0,983021077283372","0,967517401392111","0,998817966903073","0,983167684147592",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1684,62,8,1662,Fold1.Rep07,"0,979508196721311","0,964037122969838","0,995271867612293","0,979654495291065",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1686,60,3,1668,Fold2.Rep07,"0,981562774363477","0,965277777777778","0,998223801065719","0,981750789421749",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1691,55,4,1666,Fold3.Rep07,"0,982728337236534","0,968041836141778","0,9976401179941","0,982840977067939",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1682,64,5,1665,Fold4.Rep07,"0,97980093676815","0,962984384037016","0,997036158861885","0,98001027144945",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1698,47,6,1665,Fold5.Rep07,"0,984484777517564","0,972546728971963","0,996478873239437","0,9845128011057",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1683,63,5,1665,Fold1.Rep08,"0,980093676814988","0,963541666666667","0,997037914691943","0,980289790679305",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1676,70,5,1665,Fold2.Rep08,"0,978044496487119","0,959654178674352","0,997025580011898","0,978339879343125",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1692,53,7,1664,Fold3.Rep08,"0,982435597189695","0,969132207338381","0,995879929370218","0,982506068354299",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1685,61,8,1663,Fold4.Rep08,"0,979806848112379","0,96461716937355","0,995274660366214","0,979945914869882",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1693,53,4,1666,Fold5.Rep08,"0,983313817330211","0,969168121000582","0,997642899233942","0,983405510117262",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1689,57,8,1663,Fold1.Rep09,"0,980977465613111","0,966860465116279","0,995285798467884","0,981073131792082",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1682,63,8,1662,Fold2.Rep09,"0,979209370424597","0,963478260869565","0,995266272189349","0,979372266529457",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1690,56,7,1663,Fold3.Rep09,"0,98155737704918","0,967422920302501","0,995875073659399","0,98164899698095",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1678,68,10,1661,Fold4.Rep09,"0,977172958735733","0,960670908039329","0,994075829383886","0,977373368711608",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1690,56,3,1667,Fold5.Rep09,"0,982728337236534","0,967498549042368","0,99822799763733","0,982863273339849",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1689,57,1,1669,Fold1.Rep10,"0,983021077283372","0,966975666280417","0,999408284023669","0,983191975152043",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1675,70,4,1667,Fold2.Rep10,"0,978337236533958","0,959700633275763","0,997617629541394","0,978659131408578",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1683,63,4,1667,Fold3.Rep10,"0,980392156862745","0,963583815028902","0,997628927089508","0,980606371059205",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1694,52,6,1664,Fold4.Rep10,"0,983021077283372","0,96969696969697","0,996470588235294","0,983083778966132",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1684,62,8,1662,Fold5.Rep10,"0,979508196721311","0,964037122969838","0,995271867612293","0,979654495291065",eclipse,svm,smote,repeatedcv5x10,Accuracy,100,long_description,sigma,"0,03125",C,32,144,1
1725,29,11,1669,Fold1.Rep01,"0,988351776354106","0,982921083627797","0,993663594470046","0,988292339048922",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1723,31,9,1671,Fold2.Rep01,"0,988351776354106","0,981786133960047","0,994803695150115","0,988294914555081",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1730,24,8,1672,Fold3.Rep01,"0,990681421083285","0,985849056603774","0,995397008055236","0,990623032329505",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1733,21,6,1674,Fold4.Rep01,"0,992137449039022","0,987610619469026","0,996549741230592","0,992080180349809",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1731,23,6,1674,Fold5.Rep01,"0,991555037856727","0,986446670595168","0,996545768566494","0,991496219580831",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1727,27,7,1673,Fold1.Rep02,"0,99009900990099","0,984117647058823","0,9959630911188","0,990040369088812",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1731,23,20,1660,Fold2.Rep02,"0,987478159580664","0,986333927510398","0,988577955454026","0,987455941482212",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1724,30,13,1667,Fold3.Rep02,"0,987478159580664","0,982321744254567","0,99251583189407","0,987418788074319",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1727,27,9,1671,Fold4.Rep02,"0,989516598718695","0,984098939929329","0,994815668202765","0,989457304066047",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1729,25,14,1666,Fold5.Rep02,"0,988642981945253","0,98521584861029","0,991967871485944","0,988591860048117",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1727,27,10,1670,Fold1.Rep03,"0,989225393127548","0,98408956982911","0,994242947610823","0,989166258719967",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1727,27,13,1667,Fold2.Rep03,"0,988351776354106","0,984061393152302","0,992528735632184","0,988295064392243",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1724,30,14,1666,Fold3.Rep03,"0,987186953989517","0,982311320754717","0,991944764096663","0,98712804242569",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1731,23,17,1663,Fold4.Rep03,"0,988351776354106","0,986358244365362","0,990274599542334","0,988316421953848",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1733,21,10,1670,Fold5.Rep03,"0,990972626674432","0,987581312832643","0,994262765347103","0,990922039089873",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1727,27,14,1666,Fold1.Rep04,"0,988060570762959","0,984051978735972","0,991958644457209","0,98800531159659",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1731,23,9,1671,Fold2.Rep04,"0,990681421083285","0,98642266824085","0,994827586206897","0,990625127223873",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1730,24,12,1668,Fold3.Rep04,"0,989516598718695","0,985815602836879","0,993111366245695","0,989463484541287",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1718,36,9,1671,Fold4.Rep04,"0,986895748398369","0,978910369068541","0,994788650839606","0,986849509954074",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1734,20,9,1671,Fold5.Rep04,"0,991555037856727","0,988172678888232","0,994836488812392","0,991504583850312",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1726,28,8,1672,Fold1.Rep05,"0,989516598718695","0,983529411764706","0,995386389850058","0,989457900807382",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1718,36,6,1674,Fold2.Rep05,"0,987769365171811","0,978947368421053","0,996519721577726","0,987733544999389",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1732,22,11,1669,Fold3.Rep05,"0,990390215492137","0,986989946777055","0,993689041881813","0,990339494329434",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1731,23,16,1664,Fold4.Rep05,"0,988642981945253","0,986366330764671","0,990841442472811","0,988603886618741",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1733,21,11,1669,Fold5.Rep05,"0,990681421083285","0,987573964497041","0,993692660550459","0,99063331252375",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1730,24,10,1670,Fold1.Rep06,"0,99009900990099","0,985832349468713","0,994252873563218","0,990042611515966",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1733,21,13,1667,Fold2.Rep06,"0,99009900990099","0,987559241706161","0,992554410080183","0,990056825893172",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1725,29,14,1666,Fold3.Rep06,"0,987478159580664","0,982890855457227","0,991949396204715","0,987420125830971",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1733,21,8,1672,Fold4.Rep06,"0,991555037856727","0,987595983461311","0,995404939689833","0,991500461575572",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1726,28,6,1674,Fold5.Rep06,"0,99009900990099","0,983548766157462","0,996535796766744","0,990042281462103",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1733,21,6,1674,Fold1.Rep07,"0,992137449039022","0,987610619469026","0,996549741230592","0,992080180349809",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1723,31,8,1672,Fold2.Rep07,"0,988642981945253","0,981796829125073","0,995378393991912","0,988587611558493",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1726,28,6,1674,Fold3.Rep07,"0,99009900990099","0,983548766157462","0,996535796766744","0,990042281462103",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1727,27,10,1670,Fold4.Rep07,"0,989225393127548","0,98408956982911","0,994242947610823","0,989166258719967",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1727,27,15,1665,Fold5.Rep07,"0,987769365171811","0,984042553191489","0,991389207807118","0,987715880499304",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1719,35,22,1658,Fold1.Rep08,"0,983401281304601","0,979326639102185","0,987363584147042","0,983345111624614",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1725,29,6,1674,Fold2.Rep08,"0,989807804309843","0,982971227246036","0,996533795493934","0,989752511369985",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1730,24,10,1670,Fold3.Rep08,"0,99009900990099","0,985832349468713","0,994252873563218","0,990042611515966",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1737,17,12,1668,Fold4.Rep08,"0,991555037856727","0,989910979228487","0,993138936535163","0,991524957881825",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1728,26,4,1676,Fold5.Rep08,"0,99126383226558","0,984723854289072","0,997690531177829","0,99120719273345",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1726,28,9,1671,Fold1.Rep09,"0,989225393127548","0,983519717480871","0,994812680115274","0,989166198798072",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1722,32,10,1670,Fold2.Rep09,"0,987769365171811","0,981198589894242","0,994226327944573","0,987712458919407",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1734,20,17,1663,Fold3.Rep09,"0,989225393127548","0,988116458704694","0,990291262135922","0,989203860420308",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1731,23,14,1666,Fold4.Rep09,"0,989225393127548","0,986382474837182","0,991977077363897","0,989179776100539",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1733,21,13,1667,Fold5.Rep09,"0,99009900990099","0,987559241706161","0,992554410080183","0,990056825893172",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1728,26,8,1672,Fold1.Rep10,"0,99009900990099","0,984687868080094","0,995391705069124","0,990039786574609",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1721,33,9,1671,Fold2.Rep10,"0,987769365171811","0,980633802816901","0,994797687861272","0,987715745339087",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1736,18,11,1669,Fold3.Rep10,"0,991555037856727","0,989330171902786","0,993703491700057","0,991516831801422",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1721,33,12,1668,Fold4.Rep10,"0,986895748398369","0,980599647266314","0,993075591459896","0,986837619363105",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1726,28,4,1676,Fold5.Rep10,"0,990681421083285","0,983568075117371","0,997687861271676","0,990627968194524",eclipse,svm,smote,repeatedcv5x10,Accuracy,150,long_description,sigma,"0,03125",C,32,144,2
1742,17,13,1669,Fold1.Rep01,"0,99128160418483","0,989916963226572","0,992592592592593","0,991254777909582",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1745,13,31,1651,Fold2.Rep01,"0,987209302325581","0,9921875","0,982545045045045","0,987366272522523",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1749,10,26,1656,Fold3.Rep01,"0,989537925021796","0,993997599039616","0,985352112676056","0,989674855857836",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1742,16,28,1655,Fold4.Rep01,"0,987213019471084","0,990424895272292","0,984180790960452","0,987302843116372",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1734,24,28,1655,Fold5.Rep01,"0,984888113920372","0,985705777248362","0,98410896708286","0,984907372165611",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1748,11,21,1661,Fold1.Rep02,"0,990700377797152","0,993421052631579","0,988128886376484","0,990774969504031",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1743,15,30,1653,Fold2.Rep02,"0,986922406277245","0,991007194244604","0,983079526226734","0,987043360235669",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1738,20,13,1669,Fold3.Rep02,"0,990406976744186","0,988158673771462","0,992575671045117","0,99036717240829",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1744,14,26,1657,Fold4.Rep02,"0,98837547224644","0,991621783363255","0,985310734463277","0,988466258913266",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1740,19,18,1664,Fold5.Rep02,"0,989247311827957","0,988710635769459","0,989761092150171","0,989235863959815",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1736,23,20,1662,Fold1.Rep03,"0,987503632664923","0,986350148367952","0,988610478359909","0,987480313363931",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1741,18,30,1653,Fold2.Rep03,"0,986054619407321","0,989228007181329","0,983060417843027","0,986144212512177",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1740,18,21,1661,Fold3.Rep03,"0,988662790697674","0,989279332936272","0,988074957410562","0,988677145173417",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1747,11,23,1660,Fold4.Rep03,"0,990119151409474","0,993417115499701","0,987005649717514","0,990211382608607",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1741,17,14,1668,Fold5.Rep03,"0,990988372093023","0,989910979228487","0,992022792022792","0,990966885625639",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1746,13,30,1652,Fold1.Rep04,"0,987503632664923","0,992192192192192","0,983108108108108","0,98765015015015",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1748,10,23,1660,Fold2.Rep04,"0,990409764603313","0,994011976047904","0,987012987012987","0,990512481530446",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1742,16,23,1659,Fold3.Rep04,"0,988662790697674","0,99044776119403","0,986968838526912","0,988708299860471",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1735,24,19,1664,Fold4.Rep04,"0,987507263219059","0,985781990521327","0,989167616875713","0,98747480369852",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1733,25,19,1663,Fold5.Rep04,"0,987209302325581","0,985189573459716","0,989155251141553","0,987172412300634",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1741,17,20,1663,Fold1.Rep05,"0,989247311827957","0,989880952380952","0,988642816581488","0,98926188448122",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1739,19,32,1650,Fold2.Rep05,"0,985174418604651","0,988615937687238","0,981931112365895","0,985273525026566",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1746,13,15,1668,Fold3.Rep05,"0,991865194654271","0,992266508030934","0,991482112436116","0,991874310233525",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
1743,15,23,1659,Fold4.Rep05,"0,988953488372093","0,991039426523297","0,986976217440544","0,98900782198192",eclipse,svm,smote,repeatedcv5x10,Accuracy,200,long_description,sigma,"0,03125",C,32,144,3
